siteCode,cityName,cityCode,cityEnName,siteName,siteEnName,countryCode,countryName,countryEnName,siteType
"ZD17520","塔拉拉","PERFS","","塔拉拉机场","/","PER","秘鲁","Peru","1"
"ZD03448","塔拉波托","PERGS","","塔拉波托机场","/","PER","秘鲁","Peru","1"
"ZD97933","塔克纳","PERTW","","塔克纳机场","/","PER","秘鲁","Peru","1"
"ZD96167","安踏","PERAY","","司令赫尔曼·阿里亚斯格拉齐亚尼机场","/","PER","秘鲁","Peru","1"
"ZD29621","奇克拉约","PERLP","","奇克拉约机场","/","PER","秘鲁","Peru","1"
"ZD29104","普卡尔帕","PERXH","","普卡尔帕机场","/","PER","秘鲁","Peru","1"
"ZD21640","皮乌拉","PERLV","","皮乌拉机场","/","PER","秘鲁","Peru","1"
"ZD50663","马尔多纳多港","PERZC","","马尔多纳多港机场","/","PER","秘鲁","Peru","1"
"ZD88075","库斯科","PERNG","","库斯科机场","/","PER","秘鲁","Peru","1"
"ZD17595","卡哈马卡","PERBH","","卡哈马卡机场","/","PER","秘鲁","Peru","1"
"ZD91825","胡利亚卡","PERHT","","胡利亚卡机场","/","PER","秘鲁","Peru","1"
"ZD04087","阿亚库乔","PEREF","","阿亚库乔机场","/","PER","秘鲁","Peru","1"
"ZD69123","阿雷基帕","PERCU","","阿雷基帕机场","/","PER","秘鲁","Peru","1"
"ZD72436","赛义德布尔","BGDDA","","赛义德布尔机场","/","BGD","孟加拉国","Bangladesh","1"
"ZD74348","达卡","BGDJG","","齐亚国际机场","/","BGD","孟加拉国","Bangladesh","1"
"ZD52164","科克斯巴扎尔","BGDTE","","科克斯巴扎尔机场","/","BGD","孟加拉国","Bangladesh","1"
"ZD57445","吉大港","BGDSS","","吉大港国际机场","/","BGD","孟加拉国","Bangladesh","1"
"ZD75662","锡尔赫特","BGDJW","","奥斯马尼国际机场","/","BGD","孟加拉国","Bangladesh","1"
"ZD62294","芝加哥","USACHI","Chicago","奥黑尔国际机场","","USA","美国","United States","1"
"ZD02780","盐湖城","USASLC","Salt Lake City","盐湖城国际机场","","USA","美国","United States","1"
"ZD11354","锡拉丘兹","USA8591","American Fork","雪城汉考克国际机场","/","USA","美国","United States","1"
"ZD17655","休斯敦","USAHOU","Houston","休斯顿国际机场","/","USA","美国","United States","1"
"ZD11572","休斯敦","USAHOU","Houston","休斯敦机场","/","USA","美国","United States","1"
"ZD57544","休斯敦","USAHOU","Houston","休斯敦城市机场","/","USA","美国","United States","1"
"ZD33991","新奥尔良","USAMSY","New Orleans","新奥尔良机场","","USA","美国","United States","1"
"ZD04403","夏洛特","USACRQ","Charlotte","夏洛特机场","/","USA","美国","United States","1"
"ZD02553","西雅图","USASEA","Seattle","塔科马国际机场","","USA","美国","United States","1"
"ZD52422","檀香山","USAHNL","Honolulu","檀香山国际机场","","USA","美国","United States","1"
"ZD37128","圣何塞","USASJC","San Jose","圣何塞米内塔国际机场","/","USA","美国","United States","1"
"ZD95983","圣迭戈","USASAN","","圣地亚哥国际机场","/","USA","美国","United States","1"
